Name:,Obj Fn,Runtime,MIPGAP
"n_1000_c_10000000000_g_14_f_0.1_eps_0.01_s_300",9999152751,0.0109999,8.66189e-05
"n_1000_c_10000000000_g_14_f_0.1_eps_0.1_s_100",9999761519,0.00900006,2.41352e-05
"n_1000_c_10000000000_g_14_f_0.1_eps_0.1_s_200",9999767448,0.186,2.37434e-05
"n_1000_c_10000000000_g_14_f_0.1_eps_0.1_s_300",9999773024,0.693,2.34827e-05
"n_1000_c_10000000000_g_14_f_0.1_eps_0_s_100",9998807587,61.74,0.000120304
"n_1000_c_10000000000_g_14_f_0.1_eps_0_s_200",9998835172,62.37,0.000118548
"n_1000_c_10000000000_g_14_f_0.1_eps_0_s_300",9998865912,60.013,0.000116691
"n_1000_c_10000000000_g_14_f_0.1_eps_1e-05_s_100",9999184908,0.0109999,8.26463e-05
"n_1000_c_10000000000_g_14_f_0.1_eps_1e-05_s_200",9999485331,0.00900006,5.36693e-05
"n_1000_c_10000000000_g_14_f_0.1_eps_1e-05_s_300",9999472782,0.0110002,5.61523e-05
"n_1000_c_10000000000_g_14_f_0.2_eps_0.0001_s_100",9999516624,0.0120001,4.94918e-05
"n_1000_c_10000000000_g_14_f_0.2_eps_0.0001_s_200",9999419360,0.013,6.03363e-05
"n_1000_c_10000000000_g_14_f_0.2_eps_0.0001_s_300",9999137226,0.013,8.97519e-05
"n_1000_c_10000000000_g_14_f_0.2_eps_0.001_s_100",9999571415,0.0139999,4.39514e-05
"n_1000_c_10000000000_g_14_f_0.2_eps_0.001_s_200",9999348852,0.0120001,6.73336e-05
"n_1000_c_10000000000_g_14_f_0.2_eps_0.001_s_300",9999749315,0.0109999,2.85018e-05
"n_1000_c_10000000000_g_14_f_0.2_eps_0.01_s_100",9999232948,0.016,7.74943e-05
"n_1000_c_10000000000_g_14_f_0.2_eps_0.01_s_200",9999247830,0.0120001,7.69538e-05
"n_1000_c_10000000000_g_14_f_0.2_eps_0.01_s_300",9999262483,0.0149999,7.61849e-05
"n_1000_c_10000000000_g_14_f_0.2_eps_0.1_s_100",9999767265,0.356,2.37451e-05
"n_1000_c_10000000000_g_14_f_0.2_eps_0.1_s_200",9999777541,0.473,2.31538e-05
"n_1000_c_10000000000_g_14_f_0.2_eps_0.1_s_300",9999787934,0.318,2.25138e-05
"n_1000_c_10000000000_g_14_f_0.2_eps_0_s_100",9998810821,60.005,0.000120146
"n_1000_c_10000000000_g_14_f_0.2_eps_0_s_200",9998842007,60.007,0.000118201
"n_1000_c_10000000000_g_14_f_0.2_eps_0_s_300",9998875263,61.879,0.00011622
"n_1000_c_10000000000_g_14_f_0.2_eps_1e-05_s_100",9999650072,0.0109999,3.61907e-05
"n_1000_c_10000000000_g_14_f_0.2_eps_1e-05_s_200",9999232082,0.00999999,7.92424e-05
"n_1000_c_10000000000_g_14_f_0.2_eps_1e-05_s_300",9999873044,0.00999999,1.61514e-05
"n_1000_c_10000000000_g_14_f_0.3_eps_0.0001_s_100",9999608826,0.016,4.03649e-05
"n_1000_c_10000000000_g_14_f_0.3_eps_0.0001_s_200",9999733853,0.0120001,2.91204e-05
"n_1000_c_10000000000_g_14_f_0.3_eps_0.0001_s_300",9999760027,0.0119998,2.79936e-05
"n_1000_c_10000000000_g_14_f_0.3_eps_0.001_s_100",9999527566,0.0150001,4.84975e-05
"n_1000_c_10000000000_g_14_f_0.3_eps_0.001_s_200",9999978069,0.026,4.58326e-06
"n_1000_c_10000000000_g_14_f_0.3_eps_0.001_s_300",9999154787,0.00899982,8.85209e-05
"n_1000_c_10000000000_g_14_f_0.3_eps_0.01_s_100",9999139812,0.0159998,8.70406e-05
"n_1000_c_10000000000_g_14_f_0.3_eps_0.01_s_200",9999158882,0.013,8.61431e-05
"n_1000_c_10000000000_g_14_f_0.3_eps_0.01_s_300",9999560701,0.00999999,4.67988e-05
"n_1000_c_10000000000_g_14_f_0.3_eps_0.1_s_100",9999772932,0.221,2.33065e-05
"n_1000_c_10000000000_g_14_f_0.3_eps_0.1_s_200",9999787455,0.322,2.25464e-05
"n_1000_c_10000000000_g_14_f_0.3_eps_0.1_s_300",9999801382,0.493,2.15873e-05
"n_1000_c_10000000000_g_14_f_0.3_eps_0_s_100",9998809195,60.857,0.000115784
"n_1000_c_10000000000_g_14_f_0.3_eps_0_s_200",9998851901,60.032,0.000117389
