Name:,Obj Fn,Runtime,MIPGAP
"n_1000_c_10000000000_g_14_f_0.1_eps_0.01_s_300",9999152751,0.0109999,8.66189e-05
"n_1000_c_10000000000_g_14_f_0.1_eps_0.1_s_100",9999761519,0.0119998,2.41352e-05
"n_1000_c_10000000000_g_14_f_0.1_eps_0.1_s_200",9999767448,0.206,2.37434e-05
"n_1000_c_10000000000_g_14_f_0.1_eps_0.1_s_300",9999773024,0.726,2.34827e-05
"n_1000_c_10000000000_g_14_f_0.1_eps_0_s_100",9998807256,60.533,0.000120337
"n_1000_c_10000000000_g_14_f_0.1_eps_0_s_200",9998836620,61.908,0.000118403
"n_1000_c_10000000000_g_14_f_0.1_eps_0_s_300",9998865545,60.009,0.000116727
"n_1000_c_10000000000_g_14_f_0.1_eps_1e-05_s_100",9999463187,0.0120001,5.48146e-05
"n_1000_c_10000000000_g_14_f_0.1_eps_1e-05_s_200",9999952016,0.00999999,6.9981e-06
"n_1000_c_10000000000_g_14_f_0.1_eps_1e-05_s_300",9999378151,0.0119998,6.56165e-05
"n_1000_c_10000000000_g_14_f_0.2_eps_0.0001_s_100",9999516624,0.013,4.94918e-05
"n_1000_c_10000000000_g_14_f_0.2_eps_0.0001_s_200",9999069681,0.0119998,9.53096e-05
"n_1000_c_10000000000_g_14_f_0.2_eps_0.0001_s_300",9999137226,0.013,8.97519e-05
"n_1000_c_10000000000_g_14_f_0.2_eps_0.001_s_100",9999571415,0.013,4.39514e-05
"n_1000_c_10000000000_g_14_f_0.2_eps_0.001_s_200",9999348852,0.016,6.73336e-05
"n_1000_c_10000000000_g_14_f_0.2_eps_0.001_s_300",9999749315,0.0139999,2.85018e-05
"n_1000_c_10000000000_g_14_f_0.2_eps_0.01_s_100",9999232948,0.0149999,7.74943e-05
"n_1000_c_10000000000_g_14_f_0.2_eps_0.01_s_200",9999249618,0.0150001,7.6775e-05
"n_1000_c_10000000000_g_14_f_0.2_eps_0.01_s_300",9999262483,0.0149999,7.61849e-05
"n_1000_c_10000000000_g_14_f_0.2_eps_0.1_s_100",9999767265,0.523,2.37451e-05
"n_1000_c_10000000000_g_14_f_0.2_eps_0.1_s_200",9999777541,0.54,2.31539e-05
"n_1000_c_10000000000_g_14_f_0.2_eps_0.1_s_300",9999787934,0.339,2.25138e-05
"n_1000_c_10000000000_g_14_f_0.2_eps_0_s_100",9998810821,60.006,0.000120146
"n_1000_c_10000000000_g_14_f_0.2_eps_0_s_200",9998842007,60.006,0.000118201
"n_1000_c_10000000000_g_14_f_0.2_eps_0_s_300",9998873657,60.348,0.00011638
"n_1000_c_10000000000_g_14_f_0.2_eps_1e-05_s_100",9999650072,0.0120001,3.61907e-05
"n_1000_c_10000000000_g_14_f_0.2_eps_1e-05_s_200",9999556980,0.00999999,4.67486e-05
"n_1000_c_10000000000_g_14_f_0.2_eps_1e-05_s_300",9999486377,0.00999999,5.48208e-05
"n_1000_c_10000000000_g_14_f_0.3_eps_0.0001_s_100",9999608826,0.0180001,4.03649e-05
"n_1000_c_10000000000_g_14_f_0.3_eps_0.0001_s_200",9999533355,0.00999999,4.91717e-05
"n_1000_c_10000000000_g_14_f_0.3_eps_0.0001_s_300",9999760027,0.0139999,2.79936e-05
"n_1000_c_10000000000_g_14_f_0.3_eps_0.001_s_100",9999527566,0.0150001,4.84975e-05
"n_1000_c_10000000000_g_14_f_0.3_eps_0.001_s_200",9999978069,0.03,4.58326e-06
"n_1000_c_10000000000_g_14_f_0.3_eps_0.001_s_300",9999407839,0.0079999,6.3212e-05
"n_1000_c_10000000000_g_14_f_0.3_eps_0.01_s_100",9999139852,0.0519998,8.70366e-05
"n_1000_c_10000000000_g_14_f_0.3_eps_0.01_s_200",9999060324,0.0669999,9.60007e-05
"n_1000_c_10000000000_g_14_f_0.3_eps_0.01_s_300",9999560701,0.0110002,4.67988e-05
"n_1000_c_10000000000_g_14_f_0.3_eps_0.1_s_100",9999772932,0.254,2.33065e-05
"n_1000_c_10000000000_g_14_f_0.3_eps_0.1_s_200",9999786810,0.513,2.26108e-05
"n_1000_c_10000000000_g_14_f_0.3_eps_0.1_s_300",9999805126,0.426,2.12129e-05
"n_1000_c_10000000000_g_14_f_0.3_eps_0_s_100",9998809195,60.005,0.000115784
"n_1000_c_10000000000_g_14_f_0.3_eps_0_s_200",9998851847,61.899,0.000117394
"n_1000_c_10000000000_g_14_f_0.3_eps_0_s_300",9998887132,60.01,0.000115179
"n_1000_c_10000000000_g_14_f_0.3_eps_1e-05_s_100",9999353795,0.0509999,6.59681e-05
"n_1000_c_10000000000_g_14_f_0.3_eps_1e-05_s_200",9999462110,0.0120001,5.62259e-05
"n_1000_c_10000000000_g_14_f_0.3_eps_1e-05_s_300",9999130495,0.00999999,9.08457e-05
"n_1000_c_10000000000_g_2_f_0.1_eps_0.0001_s_100",5001005151,0.00600004,0
"n_1000_c_10000000000_g_2_f_0.1_eps_0.0001_s_200",5001009773,0.00399995,0
"n_1000_c_10000000000_g_2_f_0.1_eps_0.0001_s_300",5001015101,0.00399995,1.99959e-10
"n_1000_c_10000000000_g_2_f_0.1_eps_0.001_s_100",5010005187,0.00399995,0
"n_1000_c_10000000000_g_2_f_0.1_eps_0.001_s_200",5010010051,0.00600004,1.996e-10
"n_1000_c_10000000000_g_2_f_0.1_eps_0.001_s_300",5010015078,0.00600004,0
