Name:,Obj Fn,Runtime,MIPGAP
"n_1000_c_10000000000_g_10_f_0.1_eps_0.0001_s_100",9998295010
"n_1000_c_10000000000_g_10_f_0.1_eps_0.0001_s_200",9995779726
"n_1000_c_10000000000_g_10_f_0.1_eps_0.0001_s_300",9990794134
"n_1000_c_10000000000_g_10_f_0.1_eps_0.001_s_100",9991880364
"n_1000_c_10000000000_g_10_f_0.1_eps_0.001_s_200",9991886193
"n_1000_c_10000000000_g_10_f_0.1_eps_0.001_s_300",9991891144
"n_1000_c_10000000000_g_10_f_0.1_eps_0.01_s_100",9998446574
"n_1000_c_10000000000_g_10_f_0.1_eps_0.01_s_200",9998456778
"n_1000_c_10000000000_g_10_f_0.1_eps_0.01_s_300",9991433763
"n_1000_c_10000000000_g_10_f_0.1_eps_0.1_s_100",9996100322
"n_1000_c_10000000000_g_10_f_0.1_eps_0.1_s_200",9996104411
"n_1000_c_10000000000_g_10_f_0.1_eps_0.1_s_300",9996109015
"n_1000_c_10000000000_g_10_f_0.1_eps_0_s_100",10000012795
"n_1000_c_10000000000_g_10_f_0.1_eps_0_s_200",9980502144
"n_1000_c_10000000000_g_10_f_0.1_eps_0_s_300",9980522359
"n_1000_c_10000000000_g_10_f_0.1_eps_1e-05_s_100",9993581939
"n_1000_c_10000000000_g_10_f_0.1_eps_1e-05_s_200",9994998235
"n_1000_c_10000000000_g_10_f_0.1_eps_1e-05_s_300",9995802677
"n_1000_c_10000000000_g_10_f_0.2_eps_0.0001_s_100",9997298564
"n_1000_c_10000000000_g_10_f_0.2_eps_0.0001_s_200",9991317385
"n_1000_c_10000000000_g_10_f_0.2_eps_0.0001_s_300",9998311853
"n_1000_c_10000000000_g_10_f_0.2_eps_0.001_s_100",9991885789
"n_1000_c_10000000000_g_10_f_0.2_eps_0.001_s_200",9991896923
"n_1000_c_10000000000_g_10_f_0.2_eps_0.001_s_300",9991908369
"n_1000_c_10000000000_g_10_f_0.2_eps_0.01_s_100",9991418398
"n_1000_c_10000000000_g_10_f_0.2_eps_0.01_s_200",9996119466
"n_1000_c_10000000000_g_10_f_0.2_eps_0.01_s_300",9998484771
"n_1000_c_10000000000_g_10_f_0.2_eps_0.1_s_100",9996103786
"n_1000_c_10000000000_g_10_f_0.2_eps_0.1_s_200",9996110622
"n_1000_c_10000000000_g_10_f_0.2_eps_0.1_s_300",9996122744
"n_1000_c_10000000000_g_10_f_0.2_eps_0_s_100",10000018032
"n_1000_c_10000000000_g_10_f_0.2_eps_0_s_200",9980515288
"n_1000_c_10000000000_g_10_f_0.2_eps_0_s_300",9980537119
