Name,Obj Fn,Runtime,MIPGAP
B1C6_1,6022,3600.01,0.216705
B1C6_2,7350,3600.01,0.121905
B1C6_3,9018,1477.7,0
B1C6_4,10280,65.033,9.72763e-05
B2C6_1,FAIL
B2C6_2,FAIL
B2C6_3,9165,3600.01,0.0327332
B2C6_4,10542,35.754,0
B3C6_1,FAIL
B3C6_2,5991,3600.04,0.364213
B3C6_3,8563,3600.03,0.0924909
B3C6_4,10349,68.309,0
B4C6_1,FAIL
B4C6_2,6486,3600.01,0.322078
B4C6_3,9401,670.694,0
B4C6_4,10609,45.212,0
B5C6_1,FAIL
B5C6_2,FAIL
B5C6_3,8191,3600.03,0.138689
B5C6_4,10273,582.479,9.73425e-05
B6C6_1,11646,3600.04,0.174395
B6C6_2,14553,3600.04,0.0596441
B6C6_3,17036,53.956,0
B6C6_4,18724,0.923,0
B7C6_1,10648,3600.02,0.234974
B7C6_2,13915,3600.04,0.0788358
B7C6_3,16829,416.73,5.94212e-05
B7C6_4,18575,8.439,0
B8C6_1,12511,3600.02,0.0707378
B8C6_2,14603,3600.01,0.0161611
B8C6_3,16524,159.763,0
B8C6_4,18132,2.838,0
B9C6_1,FAIL
B9C6_2,14343,3600.04,0.0622603
B9C6_3,16989,53.673,0
B9C6_4,18561,0.745,0
B10C6_1,11405,3600.03,0.126874
B10C6_2,13262,3600.04,0.106168
B10C6_3,16100,498.592,6.21118e-05
B10C6_4,17750,16.642,0
B11C6_1,FAIL
B11C6_2,17325,467.289,5.77201e-05
B11C6_3,18334,24.902,0
B11C6_4,18717,2.048,0
B12C6_1,14646,3600.02,0.091356
B12C6_2,17775,260.895,0
B12C6_3,18639,4.745,0
B12C6_4,18929,0.396,5.2829e-05
B13C6_1,13707,3600.02,0.101043
B13C6_2,16899,1699.67,5.91751e-05
B13C6_3,17993,9.964,0
B13C6_4,18268,0.849,0
B14C6_1,FAIL
B14C6_2,16776,429.823,5.9609e-05
B14C6_3,17807,37.698,0
B14C6_4,18273,2.268,0
B15C6_1,FAIL
B15C6_2,16612,390.037,0
B15C6_3,17372,3.86,0
B15C6_4,17569,0.64,0
