Name,Obj Fn,Runtime,MIPGAP,seed
MT1_1000.txt,13864.3244,3600.3090,0.2605,1293254010
MT1_1100.txt,14366.2723,3600.4880,0.2435,3584748712
MT1_1200.txt,15735.8660,3600.3620,0.2781,2743249432
MT1_1300.txt,16014.1534,3600.3940,0.2556,2562369567
MT1_1400.txt,17423.2172,3600.4310,0.2851,3122855785
MT1_1500.txt,17926.2628,3600.4930,0.2698,827370213
MT1_1600.txt,18431.8824,3600.4430,0.2609,1979487443
MT1_1700.txt,19432.8011,3600.4810,0.2704,3556775102
MT1_1800.txt,20623.4275,3600.5220,0.2833,1853024283
MT1_1900.txt,21350.4703,3600.7190,0.2877,3455246845
MT1_2000.txt,21382.4684,3600.5660,0.2622,3431028383
