 Name,Obj Fn,Runtime,MIPGAP,seed
MT1_1000.txt,10204.9093,3600.3590,0.2634,2677809824
MT1_1100.txt,10395.7768,3600.4800,0.2327,3803057247
MT1_1200.txt,11266.4704,3600.4400,0.2523,2621248838
MT1_1300.txt,11731.8952,3600.4040,0.2415,3604127794
MT1_1400.txt,12413.8394,3600.4470,0.2456,775662451
MT1_1500.txt,12889.7469,3600.4860,0.2387,1635695673
MT1_1600.txt,13515.7419,3600.5560,0.2433,3540980132
MT1_1700.txt,12281.9814,3600.5510,0.1353,1334419347
MT1_1800.txt,14357.0468,3600.5490,0.2283,2632814291
MT1_1900.txt,15395.7504,3600.5550,0.2552,3077384365
MT1_2000.txt,15402.6641,3600.9920,0.2316,192094320
