Name,Obj Fn,Runtime,MIPGAP
B1C3,11312.0000,1800.0360,0.0903
B2C3,9945.0000,1800.0330,0.1957
B3C3,11195.0000,1800.0250,0.0732
B4C3,11324.0000,1800.0260,0.1194
B5C3,9704.0000,1800.0260,0.2442
B6C3,23296.0000,1800.0390,0.0523
B7C3,22442.0000,1800.0500,0.0393
B8C3,23324.0000,1800.0500,0.0492
B9C3,22756.0000,1800.0360,0.0611
B10C3,24316.0000,1800.0290,0.0480
B11C3,33472.0000,1800.0290,0.0611
B12C3,32670.0000,1800.0280,0.0326
B13C3,32942.0000,1800.0330,0.0276
B14C3,35106.0000,1800.0410,0.0283
B15C3,30767.0000,1800.0370,0.0515
