Name,Obj Fn,Runtime,MIPGAP
B1C3,10951,3602.45,0.118666
B2C3,-1,3604.31
B3C3,-1,3603.88
B4C3,-1,3604.46
B5C3,-1,3603.57
B6C3,22647,3603.51,0.0780982
B7C3,21959,3603.04,0.059207
B8C3,22918,3603.24,0.0646586
B9C3,22317,3602.62,0.0768209
B10C3,24213,3602.48,0.0479204
B11C3,-1,3603.17
B12C3,-1,3603.65
B13C3,-1,3603.01
B14C3,34825,3602.94,0.033099
B15C3,29040,3602.91,0.10816
