B1C1,20434,0.0051307,100.004,0.0186943
B2C1,20544,0.0022466,100.014,0.0232185
B3C1,22276,0.0023356,100.013,0.0256779
B4C1,20862,0.0023806,100.005,0.0246381
B5C1,20963,0.0133466,100.095,0.0309116
B6C1,40916,0.0034033,100.016,0.0174259
B7C1,42507,0.0098586,100.014,0.0153857
B8C1,39972,0.0033068,100.009,0.0145102
B9C1,42016,0.0104065,100.009,0.0138995
B10C1,43663,0.003412,100.007,0.0159632
B11C1,55448,0.0044016,100.012,0.00865676
B12C1,58292,0.0138441,100.015,0.00703356
B13C1,63799,0.010835,100.008,0.0061443
B14C1,59795,0.0170746,100.007,0.00700727
B15C1,57823,0.013698,100.012,0.00731543
B1C2,12982,0.0972353,100.013,0.131798
B2C2,11410,0.16079,100.007,0.269325
B3C2,15175,0.133577,100.003,0.0863921
B4C2,11590,0.229229,100.018,0.214409
B5C2,11803,0.247204,100.01,0.263662
B6C2,27621,0.348062,100.009,0.0578183
B7C2,28170,0.276846,100.005,0.0225417
B8C2,27243,0.483992,100.02,0.0571156
B9C2,27578,0.250689,100.007,0.0806077
B10C2,27825,0.368678,100.012,0.077053
B11C2,40618,1.43276,100.006,0.0349845
B12C2,38079,0.997824,100.004,0.0545708
B13C2,35206,0.283909,100.012,0.0359882
B14C2,40508,0.253268,100.008,0.0409796
B15C2,34979,0.604401,100.015,0.0605792
B1C3,10099,0.69996,100.017,0.257055
B2C3,9029,2.38326,100.008,0.355743
B3C3,8510,69.569,100.022,0.463337
B4C3,9256,14.8446,100.012,0.414434
B5C3,8933,137.434,100.003,0.390238
B6C3,19912,1.00447,100.015,0.246937
B7C3,20896,1.6666,100.007,0.127584
B8C3,21329,1.81732,100.018,0.159736
B9C3,19227,6.47604,100.004,0.273262
B10C3,23475,0.755533,100.01,0.0951225
B11C3,-1,200.009,100.019
B12C3,31050,12.7886,100.011,0.0994525
B13C3,30705,33.0817,100.008,0.115323
B14C3,34400,2.33085,100.005,0.0587209
B15C3,29725,67.3496,100.016,0.100421
B1C4,10584,0.0023121,100.011,0.0294785
B2C4,11588,0.0065171,100.007,0.0195892
B3C4,11786,0.002256,100.019,0.0139148
B4C4,11622,0.005426,100.013,0.0114438
B5C4,11411,0.010474,27.956,0
B6C4,21137,0.020563,100.019,0.0077116
B7C4,21889,0.0110526,100.03,0.00922838
B8C4,21379,0.0033488,100.014,0.0148276
B9C4,21315,0.003376,100.012,0.0058175
B10C4,21548,0.0034006,100.01,0.00672916
B11C4,29191,0.0107117,10.746,0
B12C4,28165,0.0057138,41.308,3.55051e-05
B13C4,29688,0.015298,8.749,0
B14C4,28908,0.0219087,69.044,6.9185e-05
B15C4,29146,0.0136901,34.537,0
B1C5,6388,0.0477513,100.004,0.288353
B2C5,4882,0.202541,100.019,0.785334
B3C5,6297,0.268321,100.007,0.332857
B4C5,6112,0.452773,100.007,0.442408
B5C5,6446,0.17217,100.017,0.349674
B6C5,13351,0.199797,100.006,0.175193
B7C5,13787,0.297721,100.007,0.149199
B8C5,13673,0.318098,100.015,0.161486
B9C5,13864,0.296473,100.013,0.133872
B10C5,13747,0.127466,100.009,0.151233
B11C5,18085,0.419329,100.014,0.121537
B12C5,16940,0.485973,100.014,0.207615
B13C5,17791,0.663357,100.018,0.120061
B14C5,19017,0.131144,100.004,0.0912334
B15C5,16583,0.782771,100.015,0.19731
B1C6,4698,0.356631,100.006,0.570881
B2C6,2749,8.28357,100.021,1.68461
B3C6,2206,46.5592,100.009,2.10879
B4C6,2369,4.5242,100.024,2.15112
B5C6,-1,200.002,100.006
B6C6,5289,1.30039,100.005,1.4585
B7C6,7899,0.6471,100.011,0.573617
B8C6,9022,1.19307,100.027,0.434161
B9C6,5629,7.40319,100.026,1.31551
B10C6,8356,0.848801,100.008,0.459311
B11C6,-1,200.005,100.019
B12C6,9655,12.6675,100.005,0.527706
B13C6,7553,21.3966,100.008,0.829737
B14C6,9237,5.37895,100.031,0.497781
B15C6,8417,11.0371,100.006,0.629559
