B1C3,8307,0.484636,1199.54,0.502949
B2C3,9905,7.50925,1192.53,0.199899
B3C3,9028,63.1412,1136.92,0.345148
B4C3,8862,2.12969,1197.95,0.445949
B5C3,-1,600.003,600.014
B6C3,20420,0.99212,1199.08,0.203281
B7C3,21365,0.287933,1199.75,0.0924409
B8C3,20868,7.61832,1192.45,0.175867
B9C3,20842,1.65463,1198.43,0.162029
B10C3,22475,3.21497,1196.89,0.135617
B11C3,-1,600.008,600.012
B12C3,31092,2.91892,1197.13,0.0885115
B13C3,31005,20.2996,1179.77,0.0963393
B14C3,34490,11.6452,1188.41,0.0483618
B15C3,29355,45.5516,1154.55,0.104377
B1C4,10584,0.0050344,1200.02,0.0164399
B2C4,11588,0.006623,1200.05,0.00871591
B3C4,11786,0.0023982,1158.4,8.48464e-05
B4C4,11622,0.0023152,977.558,8.60437e-05
B5C4,11411,0.005364,175.703,8.76347e-05
B6C4,21137,0.0044487,1200.05,0.00298056
B7C4,21889,0.0080677,1200.02,0.00452282
B8C4,21441,0.0103082,1200.03,0.00629635
B9C4,21315,0.0033689,1200.04,0.00117288
B10C4,21548,0.0034796,915.88,9.2816e-05
B11C4,29191,0.0112353,82.836,6.85143e-05
B12C4,28165,0.0141723,178.662,7.10101e-05
B13C4,29688,0.0056641,54.889,6.73673e-05
B14C4,28908,0.0140655,361.036,6.9185e-05
B15C4,29146,0.0054517,226.049,6.86201e-05
B1C5,6681,0.190173,1199.85,0.190241
B2C5,7346,0.410916,1199.67,0.124421
B3C5,6261,0.11178,1199.96,0.297237
B4C5,5727,0.52309,1199.54,0.478261
B5C5,5146,0.128661,1199.92,0.636417
B6C5,13483,0.200141,1199.84,0.141289
B7C5,13745,0.219993,1199.84,0.13263
B8C5,13147,0.120831,1199.99,0.190234
B9C5,13601,0.359059,1199.71,0.139549
B10C5,13895,0.119254,1199.92,0.118244
B11C5,16535,1.22523,1198.84,0.209193
B12C5,16893,1.21126,1198.86,0.18996
B13C5,17953,1.42453,1198.62,0.0904027
B14C5,19078,0.415589,1199.65,0.0708146
B15C5,17354,0.627779,1199.45,0.125101
B1C6,3935,0.549075,1199.53,0.777128
B2C6,2497,11.3164,1188.76,1.7521
B3C6,1783,126.117,1073.94,2.60628
B4C6,3644,8.25591,1191.78,0.918771
B5C6,1570,481.746,718.321,3.01592
B6C6,8893,1.81582,1198.24,0.417969
B7C6,7456,0.868889,1199.2,0.617489
B8C6,7419,0.621359,1199.43,0.693759
B9C6,8352,2.92795,1197.14,0.511494
B10C6,7435,1.47948,1198.59,0.596907
B11C6,-1,600.006,600.02
B12C6,10269,5.69834,1194.4,0.395559
B13C6,9317,17.2468,1182.84,0.432435
B14C6,10680,3.43218,1196.66,0.247191
B15C6,8739,47.4581,1152.59,0.519968
