Name,Obj Fn,Runtime,MIPGAP
B1C3,51020,3600.03,0.0386319
B2C3,49100,3600.02,0.06
B3C3,49404,3600.04,0.0639017
B4C3,50434,3600.04,0.0503232
B5C3,51123,3600.03,0.04096
B6C3,83615,3600.04,0.0241464
B7C3,81990,3600.05,0.0347725
B8C3,81986,3600.04,0.0309443
B9C3,82086,3600.06,0.0302488
B10C3,82547,3600.04,0.0250161
B11C3,88321,3600.05,0.0152399
B12C3,86494,3600.04,0.019169
B13C3,86538,3600.06,0.0163974
B14C3,86774,3600.04,0.0191763
B15C3,87352,3600.06,0.0151113
