Name,Obj Fn,Runtime,MIPGAP
B1C3,10721,3600.03,0.144669
B2C3,-1,3600.05
B3C3,-1,3600.05
B4C3,-1,3600.04
B5C3,-1,3600.05
B6C3,21204,3600.05,0.154452
B7C3,22066,3600.04,0.0560138
B8C3,22976,3600.09,0.0659384
B9C3,-1,3600.04
B10C3,24094,3600.07,0.0559475
B11C3,-1,3600.03
B12C3,-1,3600.05
B13C3,-1,3600.04
B14C3,34657,3600.04,0.0405113
B15C3,-1,3600.05
B1C6,4384,3600.04,0.553832
B2C6,-1,3600.08
B3C6,-1,3600.06
B4C6,-1,3600.02
B5C6,-1,3600.04
B6C6,10808,3600.05,0.149704
B7C6,8996,3600.04,0.331258
B8C6,10272,3600.1,0.219724
B9C6,-1,3600.14
B10C6,9579,3600.06,0.229773
B11C6,-1,3600.03
B12C6,-1,3600.05
B13C6,-1,3600.03
B14C6,10716,3600.04,0.231523
B15C6,-1,3600.02
