Name,Obj Fn,Runtime,MIPGAP
B1C3,34179,1200.33,0.0612364
B2C3,36311,1200.04,0.0534824
B3C3,38866,1200.04,0.0610559
B4C3,34013,1200.07,0.0877606
B5C3,34095,1200.06,0.0747318
B6C3,72393,1200.08,0.0176389
B7C3,64681,1200.06,0.0450519
B8C3,71625,1200.04,0.0246283
B9C3,66498,1200.07,0.0483774
B10C3,73176,1200.04,0.027714
B11C3,95484,1200.05,0.0350844
B12C3,93407,1200.06,0.0234351
B13C3,84341,1200.07,0.0225869
B14C3,96823,1200.05,0.0302201
B15C3,92759,1200.07,0.0277925
