Name,Obj Fn,Runtime,MIPGAP
B6C3_0,23030,3600.03,0.0959618
B6C3_1,25433,3600.04,0.0382967
B6C3_2,27370,170.557,7.30727e-05
B6C3_3,28294,10.044,0
B6C3_4,29033,2.02,0
