Name,Obj Fn,Runtime,MIPGAP
"1-1000-60-60-1.0-0.25-M.txt",31819,0.103,1e+100
"1-1000-60-60-1.0-0.25-P.txt",111569,0.108,3.33364
"1-1000-60-60-1.0-0.5-M.txt",-1,0.11
"1-1000-60-60-1.0-0.5-P.txt",-1,0.105
"1-1000-60-60-1.0-0.75-M.txt",-1,0.1
"1-1000-60-60-1.0-0.75-P.txt",-1,0.103
"10-1000-60-60-1.0-0.25-M.txt",-1,0.104
"10-1000-60-60-1.0-0.25-P.txt",-1,0.105
"10-1000-60-60-1.0-0.5-M.txt",-1,0.102
"10-1000-60-60-1.0-0.5-P.txt",-1,0.104
"10-1000-60-60-1.0-0.75-M.txt",-1,0.107
"10-1000-60-60-1.0-0.75-P.txt",-1,0.104
"2-1000-60-60-1.0-0.25-M.txt",-1,0.101
"2-1000-60-60-1.0-0.25-P.txt",-1,0.105
"2-1000-60-60-1.0-0.5-M.txt",-1,0.101
"2-1000-60-60-1.0-0.5-P.txt",-1,0.101
"2-1000-60-60-1.0-0.75-M.txt",-1,0.107
"2-1000-60-60-1.0-0.75-P.txt",-1,0.102
"3-1000-60-60-1.0-0.25-M.txt",-1,0.106
"3-1000-60-60-1.0-0.25-P.txt",-1,0.103
"3-1000-60-60-1.0-0.5-M.txt",-1,0.102
"3-1000-60-60-1.0-0.5-P.txt",-1,0.108
"3-1000-60-60-1.0-0.75-M.txt",-1,0.102
"3-1000-60-60-1.0-0.75-P.txt",-1,0.101
"3-500-30-30-1.0-0.25-M.txt",-1,0.123
"3-500-30-30-1.0-0.25-P.txt",-1,0.116
"4-1000-60-60-1.0-0.25-M.txt",-1,0.11
"4-1000-60-60-1.0-0.25-P.txt",-1,0.106
"4-1000-60-60-1.0-0.5-M.txt",-1,0.103
"4-1000-60-60-1.0-0.5-P.txt",-1,0.106
"4-1000-60-60-1.0-0.75-M.txt",-1,0.103
"4-1000-60-60-1.0-0.75-P.txt",-1,0.11
"5-1000-60-60-1.0-0.25-M.txt",-1,0.111
"5-1000-60-60-1.0-0.25-P.txt",-1,0.107
"5-1000-60-60-1.0-0.5-M.txt",-1,0.106
"5-1000-60-60-1.0-0.5-P.txt",-1,0.105
"5-1000-60-60-1.0-0.75-M.txt",-1,0.103
"5-1000-60-60-1.0-0.75-P.txt",-1,0.103
"6-1000-60-60-1.0-0.25-M.txt",-1,0.104
"6-1000-60-60-1.0-0.25-P.txt",-1,0.108
"6-1000-60-60-1.0-0.5-M.txt",-1,0.102
"6-1000-60-60-1.0-0.5-P.txt",-1,0.102
"6-1000-60-60-1.0-0.75-M.txt",-1,0.111
"6-1000-60-60-1.0-0.75-P.txt",-1,0.113
"7-1000-60-60-1.0-0.25-M.txt",-1,0.11
"7-1000-60-60-1.0-0.25-P.txt",-1,0.11
"7-1000-60-60-1.0-0.5-M.txt",-1,0.103
"7-1000-60-60-1.0-0.5-P.txt",-1,0.109
"7-1000-60-60-1.0-0.75-M.txt",-1,0.1
"7-1000-60-60-1.0-0.75-P.txt",-1,0.105
"8-1000-60-60-1.0-0.25-M.txt",-1,0.103
"8-1000-60-60-1.0-0.25-P.txt",-1,0.102
"8-1000-60-60-1.0-0.5-M.txt",-1,0.104
"8-1000-60-60-1.0-0.5-P.txt",-1,0.107
"8-1000-60-60-1.0-0.75-M.txt",-1,0.109
"8-1000-60-60-1.0-0.75-P.txt",-1,0.111
"9-1000-60-60-1.0-0.25-M.txt",-1,0.112
"9-1000-60-60-1.0-0.25-P.txt",-1,0.11
"9-1000-60-60-1.0-0.5-M.txt",-1,0.108
"9-1000-60-60-1.0-0.5-P.txt",-1,0.11
"9-1000-60-60-1.0-0.75-M.txt",-1,0.107
"9-1000-60-60-1.0-0.75-P.txt",-1,0.106
