Name,Obj Fn,Runtime,MIPGAP
B1C6,3579,604.132,0.105,1.33166
B2C6,-1,0.109
B3C6,-1,0.105
B4C6,2603,613.371,0.106,2.30772
B5C6,-1,0.11
B6C6,6717,622.15,0.102,1.05464
B7C6,5712,621.995,0.108,1.31985
B8C6,9068,614.094,0.107,0.523158
B9C6,6301,600.924,0.102,1.196
B10C6,6586,606.737,0.104,0.95369
B11C6,-1,0.106
B12C6,8122,626.393,0.115,0.943117
B13C6,-1,0.108
B14C6,9118,612.3,0.108,0.624808
B15C6,6717,602.465,0.102,1.18535
