Name,Obj Fn,Runtime,MIPGAP
B1C6,2048,604.132,0.103,3.08154
B2C6,2022,624.729,0.103,3.23788
B3C6,-1,0.106
B4C6,2009,613.371,0.106,3.27078
B5C6,-1,0.109
B6C6,6967,622.15,0.105,0.9878
B7C6,6530,621.995,0.11,1.03721
B8C6,8275,614.094,0.103,0.681692
B9C6,3201,600.924,0.104,3.3249
B10C6,8028,606.737,0.108,0.602765
B11C6,-1,0.106
B12C6,9627,626.393,0.114,0.639348
B13C6,7568,616.185,0.112,0.981105
B14C6,8419,612.3,0.119,0.766362
B15C6,8570,602.465,0.107,0.713419
