Name,Obj Fn,Runtime,MIPGAP
B1C3,9517,604.132,0.11,0.399916
B2C3,9463,624.729,0.103,0.366797
B3C3,8888,600.743,0.104,0.47536
B4C3,9570,613.371,0.104,0.439498
B5C3,-1,0.106
B6C3,21930,622.15,0.105,0.156042
B7C3,20282,621.995,0.107,0.183562
B8C3,20303,614.094,0.108,0.244053
B9C3,19628,600.924,0.106,0.276187
B10C3,19991,606.737,0.102,0.31034
B11C3,-1,0.108
B12C3,30926,626.393,0.111,0.12504
B13C3,30941,616.185,0.109,0.1286
B14C3,33999,612.3,0.109,0.0913556
B15C3,28367,602.465,0.113,0.179187
