Name,Obj Fn,Runtime,MIPGAP
B1C6,2048,604.132,0.111,3.09717
B2C6,2022,624.729,0.106,3.2908
B3C6,-1,0.113
B4C6,2009,613.371,0.108,3.27377
B5C6,-1,0.106
B6C6,6967,622.15,0.105,0.9878
B7C6,6530,621.995,0.11,1.02925
B8C6,8275,614.094,0.103,0.669366
B9C6,3201,600.924,0.106,3.32271
B10C6,8028,606.737,0.109,0.602765
B11C6,-1,0.108
B12C6,9627,626.393,0.111,0.639348
B13C6,7568,616.185,0.113,0.981105
B14C6,8419,612.3,0.107,0.765055
B15C6,8570,602.465,0.109,0.712835
